mes,zona,ambito,tipo,precio_m2,var_mensual,var_trimestral,var_anual,max_historico,fecha_max,dist_max
agosto 2026,Chamberi,Chamberi,distrito,9209,-0.4%,-1.1%,+4.0%,9359,marzo 2026,-1.6%
agosto 2026,Chamberi,Almagro,barrio,11186,+0.7%,+0.7%,+0.3%,11241,julio 2025,-0.5%
agosto 2026,Chamberi,Arapiles,barrio,8217,-0.6%,-3.3%,+3.4%,8580,marzo 2026,-4.2%
agosto 2026,Chamberi,Gaztambide,barrio,8228,-0.8%,-0.4%,+9.7%,8310,abril 2026,-1.0%
agosto 2026,Chamberi,Nuevos Ministerios-Rios Rosas,barrio,8778,-0.2%,+0.3%,+6.6%,8913,febrero 2026,-1.5%
agosto 2026,Chamberi,Trafalgar,barrio,9461,-0.2%,-0.8%,+7.8%,9537,mayo 2026,-0.8%
agosto 2026,Chamberi,Vallehermoso,barrio,7674,-2.4%,-4.8%,+2.3%,8108,marzo 2026,-5.3%
agosto 2026,Chamartin,Chamartin,distrito,8222,-0.5%,-1.5%,+6.1%,8343,mayo 2026,-1.5%
agosto 2026,Chamartin,Bernabeu-Hispanoamerica,barrio,8774,+0.7%,+2.3%,+14.2%,8774,agosto 2026,0.0%
agosto 2026,Chamartin,Castilla,barrio,7283,+0.5%,-0.1%,+13.5%,7375,abril 2026,-1.3%
agosto 2026,Chamartin,Ciudad Jardin,barrio,7219,-1.0%,-0.9%,+3.1%,7451,febrero 2026,-3.1%
agosto 2026,Chamartin,El Viso,barrio,9398,-0.3%,-4.3%,+2.1%,9821,abril 2026,-4.3%
agosto 2026,Chamartin,Nueva Espana,barrio,8625,-1.7%,-0.7%,+7.9%,8777,julio 2026,-1.7%
agosto 2026,Chamartin,Prosperidad,barrio,7248,-1.3%,-3.9%,+5.3%,7539,mayo 2026,-3.9%
agosto 2026,Malasana-Universidad,Malasana-Universidad,barrio,7949,+0.4%,+0.6%,+2.5%,7949,agosto 2026,0.0%
