mes,ambito,tipo,precio_m2,var_mensual,var_trimestral,var_anual,max_historico,fecha_max,dist_max
agosto 2026,España,nacional,2924,-0.3%,+1.5%,+12.5%,2933,julio 2026,-0.3%
agosto 2026,Andalucía,comunidad,2938,+0.5%,+2.1%,+10.9%,2938,agosto 2026,0.0%
agosto 2026,Aragón,comunidad,1691,+0.8%,+2.9%,+15.4%,2460,mayo 2007,-31.3%
agosto 2026,Asturias,comunidad,1887,+0.5%,+2.6%,+14.1%,2238,febrero 2008,-15.7%
agosto 2026,Baleares,comunidad,5595,+0.4%,+0.8%,+5.1%,5595,agosto 2026,0.0%
agosto 2026,Canarias,comunidad,3336,-0.6%,-0.5%,+6.7%,3363,junio 2026,-0.8%
agosto 2026,Cantabria,comunidad,2392,+0.6%,+4.4%,+17.2%,2421,enero 2008,-1.2%
agosto 2026,Castilla y León,comunidad,1388,+0.8%,+3.6%,+13.5%,1695,julio 2007,-18.1%
agosto 2026,Castilla-La Mancha,comunidad,1157,+0.3%,+2.6%,+16.4%,1759,julio 2007,-34.2%
agosto 2026,Cataluña,comunidad,3081,-0.3%,+1.8%,+12.9%,3147,mayo 2007,-2.1%
agosto 2026,Ceuta,comunidad,2754,+0.7%,+1.4%,+16.6%,2756,junio 2026,-0.1%
agosto 2026,Comunitat Valenciana,comunidad,2490,+0.4%,+1.8%,+9.8%,2490,agosto 2026,0.0%
agosto 2026,Euskadi,comunidad,3784,+1.0%,+2.9%,+11.6%,3784,agosto 2026,0.0%
agosto 2026,Extremadura,comunidad,1049,-0.3%,-0.3%,+9.3%,1424,julio 2007,-26.4%
agosto 2026,Galicia,comunidad,1667,+0.3%,+2.6%,+10.9%,1912,noviembre 2006,-12.8%
agosto 2026,La Rioja,comunidad,1518,-0.9%,+0.6%,+7.8%,1985,julio 2007,-23.5%
agosto 2026,Madrid,comunidad,5059,-1.5%,-1.7%,+7.0%,5153,junio 2026,-1.8%
agosto 2026,Melilla,comunidad,2060,+0.8%,+0.3%,+2.2%,2060,agosto 2026,0.0%
agosto 2026,Región de Murcia,comunidad,1681,0.0%,+2.8%,+13.8%,2125,julio 2006,-20.9%
agosto 2026,Navarra,comunidad,1977,0.0%,+0.9%,+10.6%,2202,septiembre 2007,-10.2%
