mes,ambito,tipo,precio_m2,var_mensual,var_trimestral,var_anual,max_historico,fecha_max,dist_max
julio 2026,España,nacional,2933,+0.6%,+3.3%,+13.1%,2933,julio 2026,0.0%
julio 2026,Andalucía,comunidad,2925,+0.7%,+3.0%,+10.8%,2925,julio 2026,0.0%
julio 2026,Aragón,comunidad,1677,+0.4%,+3.0%,+14.7%,2460,mayo 2007,-31.8%
julio 2026,Asturias,comunidad,1878,+1.1%,+3.6%,+15.4%,2238,febrero 2008,-16.1%
julio 2026,Baleares,comunidad,5575,+0.4%,+1.0%,+5.3%,5575,julio 2026,0.0%
julio 2026,Canarias,comunidad,3357,-0.2%,+0.6%,+7.8%,3363,junio 2026,-0.2%
julio 2026,Cantabria,comunidad,2377,+2.1%,+5.9%,+18.2%,2421,enero 2008,-1.8%
julio 2026,Castilla y León,comunidad,1377,+0.9%,+3.8%,+12.5%,1695,julio 2007,-18.7%
julio 2026,Castilla-La Mancha,comunidad,1154,+1.3%,+3.6%,+16.1%,1759,julio 2007,-34.4%
julio 2026,Cataluña,comunidad,3091,+0.9%,+4.5%,+13.0%,3147,mayo 2007,-1.8%
julio 2026,Ceuta,comunidad,2734,-0.8%,+0.7%,+15.6%,2756,junio 2026,-0.8%
julio 2026,Comunitat Valenciana,comunidad,2479,+0.5%,+3.1%,+10.6%,2479,julio 2026,0.0%
julio 2026,Euskadi,comunidad,3748,+0.7%,+3.5%,+11.7%,3748,julio 2026,0.0%
julio 2026,Extremadura,comunidad,1052,-0.3%,+1.0%,+9.4%,1424,julio 2007,-26.2%
julio 2026,Galicia,comunidad,1661,+0.8%,+3.7%,+10.9%,1912,noviembre 2006,-13.1%
julio 2026,La Rioja,comunidad,1533,+0.8%,+3.2%,+9.3%,1985,julio 2007,-22.8%
julio 2026,Madrid,comunidad,5135,-0.3%,-0.1%,+8.0%,5153,junio 2026,-0.3%
julio 2026,Melilla,comunidad,2045,+0.3%,-0.4%,+0.9%,2059,enero 2026,-0.7%
julio 2026,Región de Murcia,comunidad,1680,+1.3%,+5.8%,+14.5%,2125,julio 2006,-20.9%
julio 2026,Navarra,comunidad,1977,-0.8%,+2.9%,+10.9%,2202,septiembre 2007,-10.2%
julio 2026,Madrid,provincia,5135,-0.3%,-0.1%,+8.0%,5153,junio 2026,-0.3%
