mes,zona,ambito,tipo,precio_m2,var_mensual,var_trimestral,var_anual,max_historico,fecha_max,dist_max
julio 2026,Chamberi,Chamberi,distrito,9245,0.0%,-0.8%,+4.0%,9359,marzo 2026,-1.2%
julio 2026,Chamberi,Almagro,barrio,11111,-0.2%,0.0%,-1.2%,11241,julio 2025,-1.2%
julio 2026,Chamberi,Arapiles,barrio,8269,-1.4%,-3.4%,+4.5%,8580,marzo 2026,-3.6%
julio 2026,Chamberi,Gaztambide,barrio,8296,-0.1%,-0.2%,+13.1%,8310,abril 2026,-0.2%
julio 2026,Chamberi,Nuevos Ministerios-Rios Rosas,barrio,8793,0.0%,-0.6%,+6.8%,8913,febrero 2026,-1.3%
julio 2026,Chamberi,Trafalgar,barrio,9483,+1.1%,+1.1%,+7.6%,9537,mayo 2026,-0.6%
julio 2026,Chamberi,Vallehermoso,barrio,7864,-1.0%,-2.5%,+4.8%,8108,marzo 2026,-3.0%
julio 2026,Chamartin,Chamartin,distrito,8262,-0.5%,-0.9%,+8.0%,8343,mayo 2026,-1.0%
julio 2026,Chamartin,Bernabeu-Hispanoamerica,barrio,8716,-0.4%,+0.9%,+14.4%,8750,junio 2026,-0.4%
julio 2026,Chamartin,Castilla,barrio,7245,+1.3%,-1.8%,+15.1%,7375,abril 2026,-1.8%
julio 2026,Chamartin,Ciudad Jardin,barrio,7290,-1.0%,+0.1%,+7.8%,7451,febrero 2026,-2.2%
julio 2026,Chamartin,El Viso,barrio,9428,-2.2%,-4.0%,+3.5%,9821,abril 2026,-4.0%
julio 2026,Chamartin,Nueva Espana,barrio,8777,+0.8%,+3.1%,+11.9%,8777,julio 2026,0.0%
julio 2026,Chamartin,Prosperidad,barrio,7340,-0.8%,-2.0%,+8.5%,7539,mayo 2026,-2.6%
julio 2026,Malasana-Universidad,Malasana-Universidad,barrio,7914,+0.2%,+0.5%,+2.0%,7914,julio 2026,0.0%
