mes,ambito,tipo,precio_m2,var_mensual,var_trimestral,var_anual,max_historico,fecha_max,dist_max
agosto 2026,Madrid capital,municipio,6471,-1.2%,-2.1%,+2.2%,6619,abril 2026,-2.2%
agosto 2026,Arganzuela,distrito,6346,+0.2%,-1.0%,+8.0%,6410,mayo 2026,-1.0%
agosto 2026,Barajas,distrito,5171,+1.6%,+4.4%,+16.8%,5171,agosto 2026,0.0%
agosto 2026,Barrio de Salamanca,distrito,10841,-0.5%,-2.4%,-1.9%,11328,marzo 2026,-4.3%
agosto 2026,Carabanchel,distrito,3842,+0.7%,+1.1%,+10.8%,3842,agosto 2026,0.0%
agosto 2026,Centro,distrito,7745,0.0%,-0.6%,+3.3%,7794,mayo 2026,-0.6%
agosto 2026,Chamartín,distrito,8222,-0.5%,-1.5%,+6.1%,8343,mayo 2026,-1.5%
agosto 2026,Chamberí,distrito,9209,-0.4%,-1.1%,+4.0%,9359,marzo 2026,-1.6%
agosto 2026,Ciudad Lineal,distrito,5201,-0.6%,-2.4%,+8.0%,5327,mayo 2026,-2.4%
agosto 2026,Fuencarral,distrito,5610,-0.6%,+0.4%,+7.8%,5645,julio 2026,-0.6%
agosto 2026,Hortaleza,distrito,5483,-0.8%,-1.6%,+7.3%,5586,junio 2026,-1.8%
agosto 2026,Latina,distrito,4044,+0.9%,+0.8%,+8.1%,4044,agosto 2026,0.0%
agosto 2026,Moncloa,distrito,6332,0.0%,-0.5%,+3.4%,6401,abril 2026,-1.1%
agosto 2026,Moratalaz,distrito,4563,+1.2%,+1.8%,+14.8%,4563,agosto 2026,0.0%
agosto 2026,Puente de Vallecas,distrito,3480,+2.4%,+3.6%,+17.9%,3518,septiembre 2007,-1.1%
agosto 2026,Retiro,distrito,8444,-0.3%,+0.6%,-0.5%,8579,septiembre 2025,-1.6%
agosto 2026,San Blas,distrito,4117,-0.1%,-0.4%,+7.0%,4137,junio 2026,-0.5%
agosto 2026,Tetuán,distrito,6190,-0.6%,-0.7%,+7.6%,6245,junio 2026,-0.9%
agosto 2026,Usera,distrito,3626,+1.1%,+1.6%,+18.3%,3626,agosto 2026,0.0%
agosto 2026,Vicálvaro,distrito,3980,-0.1%,-1.3%,+8.0%,4050,junio 2026,-1.7%
agosto 2026,Villa de Vallecas,distrito,3845,-0.6%,-0.2%,+12.5%,3869,julio 2026,-0.6%
agosto 2026,Villaverde,distrito,3302,+1.1%,+5.2%,+25.0%,3302,agosto 2026,0.0%
