mes,ambito,tipo,precio_m2,var_mensual,var_trimestral,var_anual,max_historico,fecha_max,dist_max
julio 2026,Madrid capital,municipio,6547,-0.4%,-1.1%,+3.1%,6619,abril 2026,-1.1%
julio 2026,Arganzuela,distrito,6336,-0.7%,-0.1%,+9.4%,6410,mayo 2026,-1.2%
julio 2026,Barajas,distrito,5092,+0.8%,+4.5%,+15.2%,5092,julio 2026,0.0%
julio 2026,Barrio de Salamanca,distrito,10890,-0.7%,-3.4%,-1.5%,11328,marzo 2026,-3.9%
julio 2026,Carabanchel,distrito,3813,-0.4%,+1.8%,+10.8%,3829,junio 2026,-0.4%
julio 2026,Centro,distrito,7745,-0.3%,+0.2%,+3.2%,7794,mayo 2026,-0.6%
julio 2026,Chamartín,distrito,8262,-0.5%,-0.9%,+8.0%,8343,mayo 2026,-1.0%
julio 2026,Chamberí,distrito,9245,0.0%,-0.8%,+4.0%,9359,marzo 2026,-1.2%
julio 2026,Ciudad Lineal,distrito,5234,-1.6%,-1.2%,+9.0%,5327,mayo 2026,-1.7%
julio 2026,Fuencarral,distrito,5645,+0.4%,+1.8%,+9.7%,5645,julio 2026,0.0%
julio 2026,Hortaleza,distrito,5529,-1.0%,-0.7%,+8.4%,5586,junio 2026,-1.0%
julio 2026,Latina,distrito,4009,+0.3%,+1.2%,+7.8%,4014,mayo 2026,-0.1%
julio 2026,Moncloa,distrito,6331,-0.3%,-1.1%,+5.7%,6401,abril 2026,-1.1%
julio 2026,Moratalaz,distrito,4511,-1.0%,+0.7%,+15.6%,4556,junio 2026,-1.0%
julio 2026,Puente de Vallecas,distrito,3399,-0.3%,+1.3%,+16.3%,3518,septiembre 2007,-3.4%
julio 2026,Retiro,distrito,8467,-0.2%,+0.3%,+0.3%,8579,septiembre 2025,-1.3%
julio 2026,San Blas,distrito,4123,-0.3%,0.0%,+7.8%,4137,junio 2026,-0.3%
julio 2026,Tetuán,distrito,6228,-0.3%,0.0%,+9.4%,6245,junio 2026,-0.3%
julio 2026,Usera,distrito,3585,-0.8%,+1.6%,+16.2%,3613,junio 2026,-0.8%
julio 2026,Vicálvaro,distrito,3985,-1.6%,0.0%,+10.3%,4050,junio 2026,-1.6%
julio 2026,Villa de Vallecas,distrito,3869,+0.4%,+2.6%,+13.7%,3869,julio 2026,0.0%
julio 2026,Villaverde,distrito,3266,+0.4%,+5.6%,+24.3%,3266,julio 2026,0.0%
